Player,KEN
Slick Watts,1010.3
Don Buse,907.0
Larry Steele,904.8
T.R. Dunn,895.8
Rick Barry,861.2
Chris Ford,771.6000000000001
Norm Van Lier,748.1
Walt Frazier,746.3000000000001
Maurice Cheeks,735.0
Phil Chenier,729.6
